Name,Listing Date,Issue Price,Listing Price,LTP,Returns from issue price
Aditya Birla Sun Life AMC Ltd,11-Oct-21,712,712,619.55,-12.98
Shri Venkatesh Refineries Ltd,11-Oct-21,40,42,212.1,430.25
Getalong Enterprise Ltd,08-Oct-21,69,73.05,23.16,-66.43
Jainam Ferro Alloys (I) Ltd,08-Oct-21,70,73,220,214.29
Paras Defence and Space Technologies Ltd,01-Oct-21,175,475,965.55,451.74
Quadpro ITeS Ltd,30-Sep-21,20,19.8,3.15,-84.25
SBL Infratech Ltd,28-Sep-21,111,130,47.8,-56.94
Prevest Denpro Ltd,27-Sep-21,84,180.55,430,411.9
Sansera Engineering Ltd,24-Sep-21,744,811.35,1158.8,55.75
Platinumone Business Services Ltd,16-Sep-21,92,99.95,130,41.3
BEW Engineering Ltd,16-Sep-21,58,127.6,150.25,159.05
Naapbooks Ltd,15-Sep-21,74,77,105,41.89
Ami Organics Ltd,14-Sep-21,610,902,2457.6,302.89
Vijaya Diagnostic Centre Ltd,14-Sep-21,531,542.3,1053.65,98.43
Aashka Hospitals Ltd,01-Sep-21,121,121.1,104.68,-13.49
Aptus Value Housing Finance India Ltd,24-Aug-21,353,329.95,303.3,-14.08
Chemplast Sanmar Ltd,24-Aug-21,541,525,446.15,-17.53
Nuvoco Vistas Corporation Ltd,23-Aug-21,570,471,317.9,-44.23
Cartrade Tech Ltd,20-Aug-21,1618,1600,1548.8,-4.28
Exxaro Tiles Ltd,16-Aug-21,120,126,7.52,-93.73
Devyani International Ltd,16-Aug-21,90,141,168.88,87.64
Windlas Biotech Ltd,16-Aug-21,460,439,924.05,100.88
Krsnaa Diagnostics Ltd,16-Aug-21,954,1025,738.55,-22.58
Network People Services Technologies Ltd,10-Aug-21,80,83.95,1656.4,1970.5
Rex Pipes & Cables Industries Ltd,10-Aug-21,26,26.7,72.1,177.31
Rolex Rings Ltd,09-Aug-21,900,1249,1425.7,58.41
Alivus Life Sciences Ltd,06-Aug-21,720,751.1,1078.95,49.85
Tatva Chintan Pharma Chem Ltd,29-Jul-21,1083,2111.8,710.55,-34.39
Zomato Ltd,23-Jul-21,76,115,216.83,185.3
G R Infraprojects Ltd,19-Jul-21,837,1700,1035.25,23.69
Clean Science & Technology Ltd,19-Jul-21,900,1784.4,1271.05,41.23
Focus Business Solution Ltd,13-Jul-21,19,29.35,83.82,341.16
Walpar Nutritions Ltd,13-Jul-21,55,59.95,46.05,-16.27
India Pesticides Ltd,05-Jul-21,296,360,142.93,-51.71
Times Green Energy India Ltd,30-Jun-21,61,61.4,84.77,38.97
Adeshwar Meditex Ltd,28-Jun-21,25,25.25,16.51,-33.96
Krishna Institute of Medical Sciences Ltd,28-Jun-21,825,1008.9,512.5,-37.88
Dodla Dairy Ltd,28-Jun-21,428,528,1114,160.28
Navoday Enterprises Ltd,25-Jun-21,20,19.5,5.65,-71.75
Sona BLW Precision Forgings Ltd,24-Jun-21,291,302.4,517.6,77.87
Shyam Metalics & Energy Ltd,24-Jun-21,306,367,824.2,169.35
Abhishek Integrations Ltd,21-Jun-21,50,40,60.9,21.8
Powergrid Infrastructure Investment Trust,14-May-21,100,104,75.67,-24.33
Kuberan Global Edu Solutions Ltd,05-May-21,20,21,31.88,59.4
Macrotech Developers Ltd,19-Apr-21,486,439,1113,129.01
Jetmall Spices and Masala Ltd,19-Apr-21,20,20.5,9.01,-54.95
Rajeshwari Cans Ltd,15-Apr-21,20,20.75,290.9,1354.5
V-Marc India Ltd,09-Apr-21,39,46.5,266.55,583.46
Barbeque-Nation Hospitality Ltd,07-Apr-21,500,492,309.3,-38.14
Siddhika Coatings Ltd,07-Apr-21,57,55,160.55,181.67
EKI Energy Services Ltd,07-Apr-21,102,140,124.05,21.62
Niks Technology Ltd,31-Mar-21,201,202.1,489.65,143.61
Nazara Technologies Ltd,30-Mar-21,1101,1971,935.1,-15.07
Suryoday Small Finance Bank Ltd,26-Mar-21,305,293,115.97,-61.98
Kalyan Jewellers India Ltd,26-Mar-21,87,73.9,431.7,396.21
Craftsman Automation Ltd,25-Mar-21,1490,1350,5000.65,235.61
Laxmi Organic Industries Ltd,25-Mar-21,130,156.2,187.13,43.95
Anupam Rasayan India Ltd,24-Mar-21,555,534.7,781.45,40.8
Knowledge Marine & Engineering Works Ltd,22-Mar-21,37,38,1666.4,4403.78
Suumaya Corporation Ltd,22-Mar-21,207,211,2.36,-98.86
Easy Trip Planners Ltd,19-Mar-21,187,206,12.5,-93.32
MTAR Technologies Ltd,15-Mar-21,575,1063.9,1380.05,140.01
Adjia Technologies Ltd,15-Mar-21,74,74.5,45.1,-39.05
Pavna Industries Ltd,09-Mar-21,165,165.6,355.85,115.67
