Name,Listing Date,Issue Price,Listing Price,LTP,Returns from issue price
Rajesh Power Services Ltd,02-Dec-24,335,636.5,873.5,160.75
Enviro Infra Engineers Ltd,29-Nov-24,148,218,208.23,40.7
Lamosaic India Ltd,29-Nov-24,200,164,49.9,-75.05
NTPC Green Energy Ltd,27-Nov-24,108,111.6,97.24,-9.96
Zinka Logistics Solutions Ltd,22-Nov-24,273,279.05,419.3,53.59
Onyx Biotec Ltd,22-Nov-24,61,54.05,57,-6.56
Mangal Compusolution Ltd,21-Nov-24,45,45,40,-11.11
Neelam Linens and Garments (India) Ltd,18-Nov-24,24,40.05,33.3,38.75
Niva Bupa Health Insurance Company Ltd,14-Nov-24,74,78.5,72.3,-2.3
ACME Solar Holdings Ltd,13-Nov-24,289,259,208.3,-27.92
Swiggy Ltd,13-Nov-24,390,412,360.95,-7.45
Sagility India Ltd,12-Nov-24,30,31.06,43.95,46.5
Afcons Infrastructure Ltd,04-Nov-24,463,430.05,450.7,-2.66
Usha Financial Services Ltd,31-Oct-24,168,164,78.1,-53.51
Godavari Biorefineries Ltd,30-Oct-24,352,310.55,167.45,-52.43
OBSC Perfection Ltd,29-Oct-24,100,110,167,67
United Heat Transfer Ltd,29-Oct-24,59,60.95,60.75,2.97
Danish Power Ltd,29-Oct-24,380,570,793.7,108.87
Waaree Energies Ltd,28-Oct-24,1503,2550,2226.1,48.11
Premium Plast Ltd,28-Oct-24,49,51.45,39.25,-19.9
Deepak Builders & Engineers India Ltd,28-Oct-24,203,198.5,146.18,-27.99
Freshara Agro Exports Ltd,24-Oct-24,116,135,140.3,20.95
Lakshya Powertech Ltd,23-Oct-24,180,342,187.1,3.94
Hyundai Motor India Ltd,22-Oct-24,1960,1931,1715.4,-12.48
Pranik Logistics Ltd,17-Oct-24,77,79,74.8,-2.86
Shiv Texchem Ltd,15-Oct-24,166,239,241,45.18
Garuda Construction and Engineering Ltd,15-Oct-24,95,103.2,107.76,13.43
Khyati Global Ventures Ltd,11-Oct-24,99,105,57,-42.42
Neopolitan Pizza and Foods Ltd,09-Oct-24,20,19.25,16.13,-19.35
Subam Papers Ltd,08-Oct-24,152,142,104.3,-31.38
Paramount Dye Tec Ltd,08-Oct-24,117,109.9,63.7,-45.56
HVAX Technologies Ltd,07-Oct-24,458,486,640,39.74
Saj Hotels Ltd,07-Oct-24,65,55,71.5,10
Nexxus Petro Industries Ltd,04-Oct-24,105,126,121,15.24
Sahasra Electronic Solutions Ltd,04-Oct-24,283,537.7,342.45,21.01
Divyadhan Recycling Industries Ltd,04-Oct-24,64,84,42,-34.38
Forge Auto International Ltd,04-Oct-24,108,113,75,-30.56
Diffusion Engineers Ltd,04-Oct-24,168,188,293.29,74.58
KRN Heat Exchanger and Refrigeration Ltd,03-Oct-24,220,470,934.9,324.95
Thinking Hats Entertainment Solutions Ltd,03-Oct-24,44,60,31.5,-28.41
Techera Engineering India Ltd,03-Oct-24,82,125,139.1,69.63
Unilex Colour & Chemical Ltd,03-Oct-24,87,89,60.2,-30.8
Manba Finance Ltd,30-Sep-24,120,150,139.46,16.22
Rappid Valves India Ltd,30-Sep-24,222,312,255.1,14.91
WOL 3D India Ltd,30-Sep-24,150,180.05,106,-29.33
Bikewo Green Tech Ltd,27-Sep-24,62,45,18.25,-70.56
Avi Ansh Textile Ltd,27-Sep-24,62,68,97,56.45
S D Retail Ltd,27-Sep-24,131,145,100.95,-22.94
Phoenix Overseas Ltd,27-Sep-24,64,64,21.9,-65.78
Kalana Ispat Ltd,26-Sep-24,66,45.15,43.4,-34.24
Paramount Speciality Forgings Ltd,25-Sep-24,59,83,56,-5.08
